,job_type,employment,race,exemption_exempt,exemption_non-exempt,ethnicity_no,ethnicity_yes,gender_female,gender_male,affiliation_AAM,affiliation_AAMD
0,1,1,1,0,1,1,0,1,0,1,0
1,2,1,1,1,0,1,0,0,1,1,0
2,3,1,1,1,0,1,0,1,0,1,0
3,4,1,1,1,0,1,0,1,0,1,0
4,5,1,1,1,0,1,0,1,0,1,0
5,6,1,1,0,1,1,0,0,1,1,0
6,7,1,1,1,0,1,0,1,0,1,0
7,4,1,1,1,0,1,0,1,0,1,0
8,8,1,2,0,1,1,0,1,0,1,0
9,8,1,2,0,1,1,0,1,0,1,0
10,8,1,1,0,1,1,0,1,0,1,0
11,8,1,1,0,1,0,1,1,0,1,0
12,6,1,1,0,1,1,0,0,1,1,0
13,9,2,1,0,1,1,0,0,1,1,0
14,9,2,3,0,1,1,0,1,0,1,0
15,9,2,2,0,1,1,0,1,0,1,0
16,7,1,1,1,0,1,0,0,1,1,0
17,7,1,1,1,0,0,1,1,0,1,0
18,2,1,1,1,0,1,0,1,0,1,0
19,10,1,1,1,0,1,0,0,1,1,0
20,4,1,1,1,0,1,0,1,0,1,0
21,11,1,1,0,1,0,1,1,0,1,0
22,4,1,1,0,1,1,0,1,0,1,0
23,2,3,1,0,1,1,0,0,1,1,0
24,12,3,1,0,1,0,1,1,0,1,0
25,1,1,2,0,1,1,0,0,1,1,0
26,5,2,1,0,1,0,1,1,0,1,0
27,5,2,1,0,1,1,0,1,0,1,0
28,10,1,1,0,1,1,0,0,1,1,0
29,6,1,1,0,1,1,0,0,0,1,0
30,9,4,3,0,0,0,0,1,0,0,1
31,9,5,4,0,0,0,0,0,1,0,1
32,9,4,1,0,0,0,0,1,0,0,1
33,9,5,1,0,0,0,0,1,0,0,1
34,9,4,1,0,0,0,0,1,0,0,1
35,9,4,1,0,0,0,0,0,1,0,1
36,9,5,4,0,0,0,0,1,0,0,1
37,9,5,1,0,0,0,0,1,0,0,1
38,9,5,4,0,0,0,0,0,1,0,1
40,9,4,2,0,0,0,0,1,0,0,1
41,9,5,1,0,0,0,0,1,0,0,1
43,9,5,3,0,0,0,0,0,1,0,1
44,9,5,4,0,0,0,0,0,1,0,1
45,9,5,1,0,0,0,0,0,1,0,1
46,9,5,4,0,0,0,0,0,1,0,1
47,9,5,1,0,0,0,0,1,0,0,1
48,9,1,1,0,0,0,0,1,0,0,1
49,9,5,1,0,0,0,0,1,0,0,1
50,9,4,1,0,0,0,0,1,0,0,1
51,9,4,1,0,0,0,0,0,1,0,1
52,9,1,1,0,0,0,0,0,1,0,1
53,9,4,3,0,0,0,0,1,0,0,1
54,9,4,4,0,0,0,0,1,0,0,1
55,9,1,2,0,0,0,0,0,1,0,1
56,9,4,1,0,0,0,0,0,1,0,1
57,9,6,3,0,0,0,0,1,0,0,1
58,9,4,3,0,0,0,0,1,0,0,1
59,9,4,3,0,0,0,0,1,0,0,1
60,9,5,3,0,0,0,0,0,1,0,1
61,9,4,3,0,0,0,0,1,0,0,1
62,9,4,1,0,0,0,0,1,0,0,1
63,9,4,1,0,0,0,0,1,0,0,1
64,9,1,1,0,0,0,0,0,1,0,1
65,9,4,1,0,0,0,0,0,1,0,1
66,9,5,1,0,0,0,0,0,1,0,1
68,9,1,4,0,0,0,0,1,0,0,1
69,9,5,1,0,0,0,0,0,1,0,1
70,9,1,4,0,0,0,0,0,1,0,1
71,9,4,1,0,0,0,0,1,0,0,1
73,9,4,1,0,0,0,0,0,1,0,1
74,9,5,1,0,0,0,0,0,1,0,1
75,9,4,1,0,0,0,0,1,0,0,1
76,9,1,2,0,0,0,0,1,0,0,1
77,9,4,1,0,0,0,0,1,0,0,1
78,9,5,1,0,0,0,0,1,0,0,1
79,9,4,4,0,0,0,0,1,0,0,1
80,9,1,1,0,0,0,0,0,1,0,1
81,9,5,4,0,0,0,0,1,0,0,1
82,9,5,1,0,0,0,0,1,0,0,1
83,9,1,1,0,0,0,0,0,1,0,1
85,9,4,1,0,0,0,0,1,0,0,1
87,9,4,3,0,0,0,0,1,0,0,1
88,9,5,1,0,0,0,0,1,0,0,1
89,9,4,3,0,0,0,0,1,0,0,1
91,9,5,5,0,0,0,0,0,1,0,1
92,9,4,1,0,0,0,0,0,1,0,1
93,9,4,1,0,0,0,0,0,1,0,1
94,9,4,5,0,0,0,0,1,0,0,1
95,9,1,1,0,0,0,0,0,1,0,1
96,9,4,1,0,0,0,0,1,0,0,1
97,9,1,2,0,0,0,0,1,0,0,1
99,9,6,1,0,0,0,0,1,0,0,1
100,9,5,1,0,0,0,0,0,1,0,1
101,9,4,3,0,0,0,0,1,0,0,1
104,9,4,1,0,0,0,0,0,1,0,1
105,9,4,3,0,0,0,0,1,0,0,1
106,9,5,3,0,0,0,0,1,0,0,1
107,9,1,2,0,0,0,0,0,1,0,1
108,9,1,1,0,0,0,0,1,0,0,1
109,9,4,3,0,0,0,0,1,0,0,1
110,9,1,2,0,0,0,0,1,0,0,1
111,9,5,1,0,0,0,0,0,1,0,1
112,9,4,4,0,0,0,0,0,1,0,1
113,9,4,1,0,0,0,0,0,1,0,1
114,9,1,3,0,0,0,0,0,1,0,1
115,9,5,1,0,0,0,0,0,1,0,1
116,9,6,3,0,0,0,0,1,0,0,1
117,9,4,1,0,0,0,0,0,1,0,1
118,9,1,4,0,0,0,0,0,1,0,1
119,9,4,1,0,0,0,0,0,1,0,1
120,9,1,2,0,0,0,0,0,1,0,1
122,9,1,1,0,0,0,0,0,1,0,1
123,9,4,1,0,0,0,0,1,0,0,1
124,9,3,2,0,0,0,0,0,1,0,1
125,9,4,3,0,0,0,0,0,1,0,1
126,9,5,1,0,0,0,0,1,0,0,1
127,9,1,4,0,0,0,0,0,1,0,1
128,9,3,3,0,0,0,0,1,0,0,1
129,9,5,3,0,0,0,0,0,1,0,1
130,9,4,1,0,0,0,0,1,0,0,1
